numConns,dataLen,openssl,denseMap,tbb,siphash,memory,numPkts,numBytes
1,100,25968486,2214,13263,10407,2118,4,500
1,1000,23516271,2847,12780,10506,2190,6,1000
1,10000,26501976,5121,15234,13323,2361,23,10000
1,100000,25373103,24939,16587,26301,258,204,100000
1,1000000,45626376,226374,14232,143061,2196,2003,1000000
1,10000000,194179017,1906380,13455,1163997,231,20004,10000000
2,100,41808990,4374,16677,11553,2796,8,1000
2,1000,48518226,4797,15138,12675,2631,11,2000
2,10000,42188820,8481,13353,13461,2487,46,20000
2,100000,45282456,48021,14730,34737,2703,406,200000
2,1000000,51116826,196533,16098,126843,2391,2004,1000000
2,10000000,385881681,3892545,16458,2335341,2496,40004,20000000
4,100,91702926,7950,23583,13845,1374,17,2000
4,1000,79354143,7161,19983,12726,2901,21,4000
4,10000,79770057,18555,19332,19266,3021,93,40000
4,100000,86258397,103077,18522,59172,3318,812,400000
4,1000000,146111220,815619,17832,466353,3351,7826,3908500
4,10000000,861888279,9251235,22155,5326524,3342,79767,39879000
8,100,170732589,13248,21852,16287,5343,32,4000
8,1000,153360792,12936,21147,15114,2955,41,8000
8,10000,155159280,30183,22008,25668,4860,184,80000
8,100000,196343376,197568,23400,105993,2808,1209,594000
8,1000000,263763351,1529301,21156,855450,4578,13924,6953500
8,10000000,1524752715,17229567,25098,9288036,4230,159402,79691000
16,100,348632604,26565,29676,21906,5481,65,8000
16,1000,299069901,26229,26313,21696,7803,80,16000
16,10000,352063242,80040,31011,46872,6564,375,160000
16,100000,380588049,515568,29148,240012,8769,3148,1551500
16,1000000,675896535,4240698,28332,2141136,7893,29571,14761500
16,10000000,3192269958,39964206,24621,20051277,6633,318520,159237000
32,100,593567955,49482,37890,32244,11109,134,16000
32,1000,705346914,76812,34761,39447,12060,166,32000
32,10000,726591888,152952,40932,81150,15918,742,320000
32,100000,625140171,521463,36468,256269,10548,3800,1862000
32,1000000,1127427366,9139782,37353,6010095,13656,61141,30523500
32,10000000,6104581266,72802290,42309,37339329,13494,636940,318435500
