size,cycles
14232,101
14232,115
14232,83
14232,87
14232,110
15946,113
15946,119
15946,129
15946,115
15946,115
15946,92
15946,94
15946,78
17866,79
17866,83
17866,83
17866,84
17866,81
17866,82
17866,94
17866,84
20018,82
20018,84
20018,97
20018,92
20018,81
20018,81
20018,97
20018,105
22429,82
22429,82
22429,78
22429,87
22429,87
22429,83
22429,81
22429,84
25131,85
25131,80
25131,81
25131,85
25131,80
25131,80
25131,79
25131,106
28157,85
28157,87
28157,82
28157,101
28157,85
28157,81
28157,81
28157,110
31549,78
31549,76
31549,81
31549,89
31549,78
31549,80
31549,78
31549,82
35348,85
35348,80
35348,78
35348,96
35348,79
35348,104
35348,110
35348,84
39606,81
39606,92
39606,81
39606,83
39606,81
39606,97
39606,78
39606,78
44376,130
44376,103
44376,82
44376,81
44376,84
44376,84
44376,78
44376,96
49720,112
49720,114
49720,123
49720,93
49720,84
49720,81
49720,80
49720,82
55709,82
55709,83
55709,79
55709,80
55709,79
55709,82
55709,87
55709,76
62418,104
62418,84
62418,79
62418,83
62418,82
62418,76
62418,81
62418,74
69936,83
69936,80
69936,82
69936,81
69936,79
69936,81
69936,79
69936,81
78359,81
78359,81
78359,79
78359,79
78359,79
78359,80
78359,80
78359,81
87796,79
87796,79
87796,77
87796,79
87796,77
87796,81
87796,99
87796,78
98370,77
98370,79
98370,78
98370,80
98370,82
98370,79
98370,106
98370,79
110217,78
110217,78
110217,77
110217,73
110217,79
110217,78
110217,79
110217,87
123492,82
123492,78
123492,78
123492,80
123492,78
123492,80
123492,79
123492,81
138365,78
138365,75
138365,78
138365,81
138365,96
138365,81
138365,77
138365,80
155029,98
155029,104
155029,73
155029,78
155029,77
155029,79
155029,75
155029,77
173701,82
173701,79
173701,80
173701,80
173701,80
173701,80
173701,80
173701,80
194621,77
194621,80
194621,81
194621,77
194621,80
194621,79
194621,79
194621,80
218061,79
218061,79
218061,91
218061,79
218061,78
218061,78
218061,79
218061,79
244324,76
244324,79
244324,89
244324,79
244324,78
244324,79
244324,82
244324,80
273750,78
273750,80
273750,78
273750,77
273750,84
273750,78
273750,79
273750,78
306719,76
306719,82
306719,79
306719,79
306719,83
306719,90
306719,81
306719,79
343660,76
343660,76
343660,77
343660,79
343660,78
343660,79
343660,79
343660,79
385050,79
385050,78
385050,77
385050,78
385050,88
385050,80
385050,80
385050,78
431424,78
431424,76
431424,77
431424,78
431424,78
431424,78
431424,76
431424,77
483384,86
483384,77
483384,87
483384,78
483384,88
483384,80
483384,86
483384,79
541602,81
541602,85
541602,83
541602,82
541602,82
541602,84
541602,85
541602,83
606831,81
606831,81
606831,82
606831,79
606831,80
606831,82
606831,81
606831,82
679917,86
679917,82
679917,81
679917,81
679917,79
679917,82
679917,82
679917,82
761805,80
761805,79
761805,81
761805,81
761805,81
761805,81
761805,80
761805,80
853555,81
853555,80
853555,81
853555,79
853555,78
853555,78
853555,78
853555,78
956355,77
956355,78
956355,78
956355,78
956355,83
956355,78
956355,76
956355,83
1071536,79
1071536,78
1071536,75
1071536,77
1071536,84
1071536,79
1071536,78
1071536,78
1200590,78
1200590,78
1200590,78
1200590,77
1200590,78
1200590,79
1200590,83
1200590,83
1345186,80
1345186,77
1345186,82
1345186,81
1345186,77
1345186,93
1345186,79
1345186,80
1507197,86
1507197,79
1507197,80
1507197,80
1507197,81
1507197,81
1507197,82
1507197,81
1688721,81
1688721,81
1688721,85
1688721,81
1688721,86
1688721,82
1688721,82
1688721,80
1892107,78
1892107,78
1892107,78
1892107,78
1892107,78
1892107,78
1892107,78
1892107,78
2119988,78
2119988,78
2119988,80
2119988,89
2119988,79
2119988,78
2119988,78
2119988,78
2375315,78
2375315,78
2375315,79
2375315,81
2375315,80
2375315,80
2375315,80
2375315,82
2661392,79
2661392,80
2661392,81
2661392,80
2661392,80
2661392,80
2661392,78
2661392,78
2981924,79
2981924,79
2981924,79
2981924,78
2981924,78
2981924,80
2981924,78
2981924,78
3341061,80
3341061,79
3341061,81
3341061,80
3341061,81
3341061,80
3341061,80
3341061,80
3743451,81
3743451,81
3743451,83
3743451,80
3743451,78
3743451,78
3743451,78
3743451,77
