size,rerun,setup,run
1104.6510569032907,0,1463.2656981574873,256.8802140971859
1104.6510569032907,1,1420.2149992939787,231.04943267378292
1104.6510569032907,2,1400.1724710569933,230.39221155815275
1104.6510569032907,3,1262.2411315196618,214.11286262925896
1104.6510569032907,4,1460.1660768077386,233.22749604045802
1104.6510569032907,5,1505.5007548375486,260.0540670329976
1104.6510569032907,6,1428.314389544038,231.7202327380831
1104.6510569032907,7,1403.7310608717896,260.5727828721933
1104.6510569032907,8,1287.7025655392395,215.47799960222073
1104.6510569032907,9,1293.0653450006623,216.71458919443944
1104.6510569032907,10,1531.8303363087646,260.1065723011884
1104.6510569032907,11,1477.758962704648,259.4294353941755
1104.6510569032907,12,1506.3308812329105,258.6997932189718
1104.6510569032907,13,1507.5122497672044,261.3621724215452
1104.6510569032907,14,1499.4336805717728,232.67619072445422
1104.6510569032907,15,1278.9541015427524,217.71399981655472
1104.6510569032907,16,1271.4820587212494,216.89564184337337
1104.6510569032907,17,1500.203154329742,258.26164580855175
1104.6510569032907,18,1372.4913315614856,214.5854100429765
1104.6510569032907,19,1275.2425222396068,218.3513051408021
1104.6510569032907,20,1278.343954115845,216.1315996648722
1104.6510569032907,21,1277.8714067021274,216.88115763145865
1104.6510569032907,22,1265.295489707177,259.765288057948
1104.6510569032907,23,1184.9262188454081,201.90086145866576
1104.6510569032907,24,1179.4367025297315,201.29071403175843
1104.6510569032907,25,1181.7921974923618,202.18511411749202
1104.6510569032907,26,1328.1986115262905,241.6075178963647
1104.6510569032907,27,1277.100122417669,217.299389250496
1104.6510569032907,28,1370.5848471682114,232.6227801930187
1104.6510569032907,29,1273.2943957370778,215.18650483743713
1104.6510569032907,30,1182.2285343762926,201.4790087866497
1104.6510569032907,31,1187.3559453941014,200.27319814474978
1191.6542553882393,0,1196.805192069199,203.05721974799243
1191.6542553882393,1,1070.1728242345905,189.6749824691061
1191.6542553882393,2,1330.5612704613081,234.31628657175332
1191.6542553882393,3,1233.6027781154248,218.65066886796893
1191.6542553882393,4,1236.615396904614,217.902129603357
1191.6542553882393,5,1012.7920867506946,178.7775263141166
1191.6542553882393,6,1148.60329144217,201.94951590349942
1191.6542553882393,7,1146.2720783512598,233.88998842553934
1191.6542553882393,8,1002.8000945716202,179.47487623439972
1191.6542553882393,9,1006.8289477211739,180.04718988738776
1191.6542553882393,10,949.4918470553944,169.4744923595337
1191.6542553882393,11,1464.9878453471674,286.0343077354683
1191.6542553882393,12,1070.2340836138692,188.59245371198796
1191.6542553882393,13,1426.6612923277096,233.87907922101024
1191.6542553882393,14,1194.0476808320748,201.95455092097438
1191.6542553882393,15,1227.9064950120776,217.15359033874506
1191.6542553882393,16,1237.6794639309908,218.66577392039383
1191.6542553882393,17,1072.687815463337,189.18742494361337
1191.6542553882393,18,1126.797469927662,162.69484132948904
1191.6542553882393,19,1232.9968976792704,216.98575642291277
1191.6542553882393,20,1233.646414933541,215.48532121537227
1191.6542553882393,21,1277.8874351469285,215.7605688373372
1191.6542553882393,22,899.8079729515665,161.26153968828143
1191.6542553882393,23,1150.7884890263063,203.283795534366
1191.6542553882393,24,1149.190710147583,202.16098663744808
1191.6542553882393,25,1105.751936051874,237.61841886575328
1191.6542553882393,26,1077.7916448437966,190.07358801920776
1191.6542553882393,27,1009.6393266417853,178.87151330698268
1191.6542553882393,28,1003.3992616511414,179.33725242341725
1191.6542553882393,29,1011.0256347865599,179.2080203082264
