size,cycles
14232,84
14232,84
14232,91
14232,91
14232,84
15946,84
15946,84
15946,84
15946,84
15946,84
15946,84
15946,84
15946,82
17866,89
17866,84
17866,96
17866,84
17866,97
17866,84
17866,84
17866,84
20018,84
20018,84
20018,84
20018,105
20018,84
20018,97
20018,82
20018,91
22429,84
22429,91
22429,90
22429,91
22429,92
22429,91
22429,85
22429,92
25131,87
25131,87
25131,82
25131,84
25131,96
25131,84
25131,85
25131,87
28157,84
28157,95
28157,84
28157,84
28157,96
28157,84
28157,84
28157,84
31549,87
31549,88
31549,87
31549,84
31549,90
31549,84
31549,84
31549,92
35348,82
35348,84
35348,88
35348,87
35348,91
35348,91
35348,94
35348,91
39606,87
39606,89
39606,93
39606,91
39606,91
39606,87
39606,92
39606,87
44376,87
44376,84
44376,94
44376,88
44376,87
44376,84
44376,82
44376,92
49720,88
49720,87
49720,84
49720,84
49720,87
49720,88
49720,87
49720,84
55709,84
55709,84
55709,88
55709,88
55709,93
55709,89
55709,87
55709,91
62418,82
62418,84
62418,84
62418,99
62418,87
62418,88
62418,87
62418,88
69936,80
69936,80
69936,81
69936,80
69936,81
69936,80
69936,92
69936,91
78359,90
78359,90
78359,90
78359,90
78359,87
78359,87
78359,88
78359,90
87796,89
87796,89
87796,90
87796,88
87796,89
87796,90
87796,90
87796,90
98370,89
98370,86
98370,106
98370,86
98370,79
98370,92
98370,79
98370,77
110217,79
110217,79
110217,79
110217,89
110217,103
110217,89
110217,89
110217,87
123492,88
123492,89
123492,89
123492,103
123492,89
123492,89
123492,89
123492,103
138365,103
138365,103
138365,103
138365,103
138365,102
138365,102
138365,166
138365,103
155029,103
155029,103
155029,103
155029,102
155029,103
155029,103
155029,104
155029,102
173701,102
173701,102
173701,103
173701,103
173701,100
173701,99
173701,96
173701,94
194621,92
194621,92
194621,90
194621,99
194621,201
194621,191
194621,176
194621,90
218061,90
218061,90
218061,202
218061,191
218061,177
218061,164
218061,153
218061,146
244324,138
244324,131
244324,123
244324,135
244324,111
244324,106
244324,110
244324,105
273750,103
273750,103
273750,102
273750,103
273750,102
273750,91
273750,89
273750,80
306719,89
306719,89
306719,89
306719,89
306719,89
306719,103
306719,92
306719,89
343660,88
343660,89
343660,103
343660,91
343660,88
343660,88
343660,87
343660,88
385050,88
385050,88
385050,88
385050,87
385050,89
385050,88
385050,102
385050,95
431424,86
431424,86
431424,103
431424,90
431424,111
431424,90
431424,103
431424,89
483384,78
483384,78
483384,79
483384,78
483384,79
483384,91
483384,88
483384,89
541602,89
541602,86
541602,84
541602,154
541602,89
541602,89
541602,89
541602,89
606831,89
606831,88
606831,89
606831,89
606831,89
606831,89
606831,89
606831,89
679917,89
679917,89
679917,89
679917,89
679917,89
679917,89
679917,89
679917,89
761805,88
761805,89
761805,89
761805,89
761805,89
761805,89
761805,89
761805,89
853555,79
853555,79
853555,78
853555,79
853555,79
853555,78
853555,176
853555,123
956355,103
956355,92
956355,89
956355,86
956355,83
956355,79
956355,79
956355,78
1071536,79
1071536,78
1071536,79
1071536,79
1071536,78
1071536,78
1071536,78
1071536,79
1200590,79
1200590,78
1200590,78
1200590,78
1200590,78
1200590,79
1200590,143
1200590,166
1345186,107
1345186,102
1345186,102
1345186,102
1345186,102
1345186,89
1345186,89
1345186,103
1507197,82
1507197,79
1507197,78
1507197,102
1507197,81
1507197,102
1507197,89
1507197,89
1688721,154
1688721,82
1688721,79
1688721,78
1688721,79
1688721,79
1688721,78
1688721,78
1892107,78
1892107,78
1892107,78
1892107,78
1892107,104
1892107,102
1892107,81
1892107,79
2119988,79
2119988,79
2119988,79
2119988,79
2119988,78
2119988,79
2119988,78
2119988,79
2375315,78
2375315,78
2375315,78
2375315,79
2375315,103
2375315,102
2375315,102
2375315,102
2661392,102
2661392,118
2661392,80
2661392,78
2661392,78
2661392,78
2661392,138
2661392,122
2981924,103
2981924,102
2981924,102
2981924,103
2981924,102
2981924,102
2981924,133
2981924,122
3341061,126
3341061,103
3341061,102
3341061,101
3341061,80
3341061,102
3341061,102
3341061,131
3743451,102
3743451,80
3743451,79
3743451,127
3743451,102
3743451,80
3743451,130
3743451,101
