numConns,dataLen,openssl,denseMap,tbb,siphash,memory,numPkts,numBytes
1,100,7523940,2868,12816,10128,2046,5,500
1,1000,8010102,2874,14301,11487,2136,5,1000
1,10000,8271390,4800,12579,11211,2388,23,10000
1,100000,9333381,24921,14304,24015,1848,203,100000
1,1000000,25446102,195159,13830,124806,1881,2003,1000000
1,10000000,178978962,1899219,13740,1147677,2019,20004,10000000
2,100,10933119,4716,16677,13806,2673,8,1000
2,1000,10680606,4401,14055,11805,396,11,2000
2,10000,10167480,8118,13626,13551,2793,45,20000
2,100000,13582521,47853,15279,34671,546,407,200000
2,1000000,44700162,395751,14040,243861,2448,4006,2000000
2,10000000,353248335,3897153,15237,2355396,2349,40006,20000000
4,100,14698128,6747,18885,13356,3567,16,2000
4,1000,16744521,9306,17283,14805,3912,20,4000
4,10000,17448450,21111,19182,19887,4647,92,40000
4,100000,21715905,115518,17835,86739,3216,812,400000
4,1000000,84655872,816201,15729,490233,1140,8014,4000000
4,10000000,711861405,7799238,21750,4614501,3363,80014,40000000
8,100,24089436,10806,21177,14820,2454,33,4000
8,1000,23885067,12267,21243,16383,5055,40,8000
8,10000,27247104,34035,21732,27168,5232,185,80000
8,100000,38406072,192729,24000,116955,5019,1624,800000
8,1000000,162662556,1776732,20004,951774,4611,16026,8000000
8,10000000,1380830142,16913334,21066,9366582,5196,160030,80000000
16,100,48823779,26619,27408,23832,8625,64,8000
16,1000,42818661,27753,23910,19356,5550,83,16000
16,10000,45728388,66552,26847,38562,8247,368,160000
16,100000,70097229,402747,24231,205215,5694,3249,1600000
16,1000000,319999887,3936600,28545,1917894,7641,32054,16000000
16,10000000,3055323093,41308668,23892,21184629,5439,320055,160000000
32,100,79773585,60267,32172,30612,13332,128,16000
32,1000,92290818,66660,38670,37902,15120,160,32000
32,10000,91863474,161379,37608,75138,12228,736,320000
32,100000,134239371,796083,34407,416997,13116,6502,3200000
32,1000000,733280313,8380209,34398,4268898,11706,64103,32000000
32,10000000,5776517910,69364095,37170,38081451,15198,640078,320000000
