size,add
1226879,1043733441
1226879,978062457
1226879,1039464788
1226879,964507262
1226879,967152790
1226879,965542296
1389611,1131539713
1389611,1128240960
1389611,1132554123
1389611,1116695178
1389611,1127480854
1389611,1108034891
1389611,1190734933
1389611,1095946119
1573927,1279780542
1573927,1277780421
1573927,1360801569
1573927,1303655313
1573927,1303981677
1573927,1288598483
1573927,1267184062
1573927,1355292861
1782690,1462550680
1782690,1522163454
1782690,1479051485
1782690,1491270969
1782690,1505219947
1782690,1456667790
1782690,1455994992
1782690,1467748134
2019144,1803498185
2019144,1671734504
2019144,1690428588
2019144,1670755467
2019144,1855748211
2019144,1683674628
2019144,1759087686
2019144,1695612387
2286960,2017911069
2286960,2053119757
2286960,1946739024
2286960,1980618612
2286960,2039316663
2286960,1938891834
2286960,1972636089
2286960,1952872330
2590299,2275458143
2590299,2282538176
2590299,2289552607
2590299,2266252881
2590299,2249614357
2590299,2224774923
2590299,2283868587
2590299,2335907112
2933873,2609107423
2933873,2685181617
2933873,2650157374
2933873,2692965219
2933873,2700204984
2933873,2632921523
2933873,2671653230
2933873,2575616713
3323017,2975743374
3323017,3071455937
3323017,3023725065
3323017,2959313210
3323017,2944977433
3323017,3010415335
3323017,2925505352
3323017,2973880503
3763777,3438960060
3763777,3390755337
3763777,3474455709
3763777,3487328993
3763777,3448430106
3763777,3421315444
3763777,3330894843
3763777,3397515597
4262999,3895107039
4262999,3819460113
4262999,3848546403
4262999,3808648465
4262999,3983603643
4262999,3877293538
4262999,3967109256
4262999,3918868777
4828437,4556561311
4828437,4512933516
4828437,4509674317
4828437,4544697547
4828437,4574408611
4828437,4501058828
4828437,4480992666
4828437,4491638705
5468874,5120364516
5468874,5127489921
5468874,5170478282
5468874,5112518623
5468874,5107220823
5468874,5049546115
5468874,5145968312
5468874,5218680075
6194257,5775347658
6194257,5760781497
6194257,5830023044
6194257,5915241565
6194257,5854246566
6194257,5913533989
6194257,5819745549
6194257,5902643817
7015854,6625868085
7015854,6627298405
7015854,6733767953
7015854,6681119575
7015854,6602257950
7015854,6533887596
7015854,6608282776
7015854,6675391321
7946427,7561917347
7946427,7576030516
7946427,7689817922
7946427,7573851696
7946427,7652458548
7946427,7605575256
7946427,7669571065
7946427,7628277480
9000430,8614870926
9000430,8671636402
9000430,8777711485
9000430,8653610225
9000430,8624030414
9000430,8749828110
9000430,8612202537
9000430,8687612709
10194233,9832975320
10194233,9931747015
